html文件,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
15544925.html,大连东软控股有限公司,东软控股,2016-12-09,,55080000,,
15548007.html,三峡资产管理中心,三峡资产,2016-12-15,,7245875,13629475167,0.6195
1554973.html,中国五矿股份有限公司,五矿股份,2015-02-16,34.41元-36.88元,中国五矿股份有限公司,,
155518.html,山东华鲁恒升集团德州热电有限责任公司,德州热电,2012-10-09,,200000,289830487,0.3039
15561202.html,盛稷股权投资基金（上海）有限公司,盛稷股权,2016-12-20,29.10,23000,,
15561202.html,盛稷股权投资基金（上海）有限公司,盛稷股权,2016-12-20,26.03,7150000,,
15568123.html,北京三才聚投资管理中心（有限合伙）,,2016-12-21,8.77元,14175000,56088879,0.0285
1556820.html,湘江产业投资有限责任公司,湘江产业投资,2015-02-13,22.92,1500000,9322700,0.0971
15568317.html,深圳市达晨财信创业投资管理有限公司,达晨财信,2016-12-21,39.50,1011600,5999300,0.0499
15572342.html,湘江产业投资有限责任公司,湘江产业投资,20161208,12.290,20000,,
15572342.html,湘江产业投资有限责任公司,湘江产业投资,20161209,12.316,160000,,
15572342.html,湘江产业投资有限责任公司,湘江产业投资,20161215,11.022,380000,,
15572342.html,湘江产业投资有限责任公司,湘江产业投资,20161216,11.086,420000,,
15572342.html,湘江产业投资有限责任公司,湘江产业投资,20161220,11.125,198480,,
15574675.html,友合利华,,2016-12-22,25.98,7500000,7542858,0.0353
15576030.html,中国五矿股份有限公司,五矿股份,2016-122,,1,5970210,0.0132
1557973.html,四川化工控股（集团）有限责任公司,,2015-02-11,7.56元,8800000,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-01-19,23.65,2271609,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-01-20,24.01,2040000,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-01-22,26.65,1530000,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-02-04,26.48,790000,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-02-05,28.08,1445950,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-02-10,26.97,1780300,,
1558292.html,北京东华诚信工业设备有限公司,工业设备,2015-02-11,28.09,1470600,,
1558292.html,北京合创电商投资顾问有限公司,合创电商,2015-01-20,24.89,2000000,,
1558292.html,北京合创电商投资顾问有限公司,合创电商,2015-01-21,25.52,1982198,,
1558292.html,北京合创电商投资顾问有限公司,合创电商,2015-01-23,27.03,556000,,
1558292.html,北京合创电商投资顾问有限公司,合创电商,2015-02-03,26.17,1149700,,
1558292.html,北京合创电商投资顾问有限公司,合创电商,2015-02-04,26.58,865951,,
1558533.html,拉萨经济技术开发区通连投资咨询有限公司,拉萨通连,2015-02-12,32.93,6341800,,
15593501.html,南方水泥有限公司,南方水泥,2016-12-27,11.65,5000000,,
15594238.html,大地6号信托,,20161222,14.9442,1611441,,
15594238.html,大地6号信托,,20161223,14.9487,2999594,,
15594238.html,大地6号信托,,20161226,14.8537,310600,,
15594238.html,共青城中源信投资管理合伙企业（有限合伙）,,20161226,15.0093,382900,,
15594238.html,中驰惠程,,20161227,15.5927,2803800,,
15594238.html,中驰惠程,,20161228,15.6986,2637000,,
15598527.html,孚日控股集团股份有限公司,孚日控股,2016-12-29,,18159479,248991096,0.2742
15603509.html,中国华融资产管理股份有限公司,中国华融,2016-12-29,8.44,1290100,,
15603509.html,华融渝富,,2016-12-29,8.97,28503696,,
15603778.html,中国航空救生研究所,救生研究所,2016-12-29,18.31,13000000,,
1560527.html,广州高金技术产业集团有限公司,高金集团,2015-02-10,10.71,3204000,60854600,0.2849
15607545.html,深圳市远望谷信息技术股份有限公司,远望谷,2016-12-30,66.46,1050000,,
15611806.html,持股的基本情况：截至云天化集团有限责任公司,云天化集团,2016-12-30,6.08,7691900,,
15616538.html,泰达宏利基金管理有限公司,泰达宏利,2016-12-29,34,1000000,,
15616538.html,泰达宏利基金管理有限公司,泰达宏利,2017-01-03,34,2000000,,
15616933.html,上海国药股权投资基金合伙企业（有限合伙）,,2017-01-03,9.2,11600000,,
15616933.html,股东名称,,本次减持前持有股份总数,本次减持前持有股份总数,本次减持后持有股份总数万,,
15616933.html,股东名称,,股数(万股),占总股本比例（%,）股数（万股）万,,
15616933.html,上海国药股权投资基金合伙企业（有限合伙）,,4,327.05,6.8,31670500,,
15616933.html,上海国药股权投资基金合伙企业（有限合伙）,,4,327.05,6.8,31670500,,
15617178.html,一致行动人中国空空导弹研究院,空导院,2016-12-21,36.28,1000000,,
15617178.html,一致行动人中国空空导弹研究院,空导院,2016-12-21,36.38,200000,,
15617178.html,一致行动人中国空空导弹研究院,空导院,2016-12-26,35.15,506100,,
15617178.html,一致行动人中国空空导弹研究院,空导院,2016-12-27,35.60,1013900,,
15617178.html,一致行动人中国空空导弹研究院,空导院,2016-12-28,35.75,280000,10068874,1.67
15621029.html,安图田木,,2017-01-05,28.86,2031100,6679900,0.05
15621060.html,山西华鑫海贸易有限公司,华鑫海,2017-01-05,32.98,2550000,,
15621061.html,爱康国际控股有限公司,爱康国际,2017-01-04,3.08,220028800,235920200,0.0525
1562343.html,新余仁邦翰威投资管理有限公司,仁邦翰威,2015-02-10,30.16,6000000,,
15635186.html,珠海投资控股有限公司,海投公司,2016-07-12,,2000000,,
15635186.html,珠海投资控股有限公司,海投公司,2016-07-13,,2000000,,
15635186.html,珠海投资控股有限公司,海投公司,2016-07-18,,3339780,,
15636022.html,四川三新创业投资有限责任公司,四川三新,2016-12-16,8.14,67999900,,
15636022.html,四川三新创业投资有限责任公司,四川三新,2017-01-04,8.93,32800200,,
15636022.html,四川三新创业投资有限责任公司,四川三新,2017-01-10,9.17,7999900,,
15641526.html,福建雪人股份有限公司,公司,2017-01-13,,4436500,,
15642127.html,国投高科技投资有限公司,国投高科,2015-06-27,33.628,350000,,
15642127.html,国投高科技投资有限公司,国投高科,2015-06-28,33.985,130000,,
1564483.html,新疆兆驰股权投资合伙企业（有限合伙）,新疆兆驰,2015-03-16,9.6元/股,16800000,,
1564483.html,新疆兆驰股权投资合伙企业（有限合伙）,新疆兆驰,2015-03-16,9.6元/股,30000000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2012-05-09,8.187,10646040,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2012-05-09,8.22,584300,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2013-01-22,7.664,6615018,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2013-01-23,7.545,2457309,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2013-03-22,8.553,4000000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2013.12,,,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-02,7.427,2060000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-03,7.469,2003086,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-04,7.472,2005400,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-05,7.607,2003350,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-09,7.51,2000000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-11,7.559,2005270,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-15,7.555,4000000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-16,7.705,3355730,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-17,7.66,2002300,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-09-18,7.937,500000,,
1564619.html,太原钢铁（集团）有限公司,太钢集团,2014-10-09,8.173,2084099,345682809,13.72
1565414.html,江苏舜天国际集团机械进出口股份有限公司,舜天机械,2015-03-13,11.99,2000000,,
1565414.html,江苏舜天国际集团机械进出口股份有限公司,舜天机械,2015-03-16,12.11,3000000,79269900,21.15
15661918.html,广西索芙特科技股份有限公司,索芙特科技,2017-01-19,20.09元,3186726,,
15662975.html,新余丰禾朴实投资管理有限公司,丰禾朴实,2016-06-29,24.28,400000,,
15662975.html,新余丰禾朴实投资管理有限公司,丰禾朴实,2016-07-01,23.86,400000,,
15662975.html,新余丰禾朴实投资管理有限公司,丰禾朴实,2017-01-18,20.00,15000000,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2015年1月,55.54,664337,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2015年1月,50.49,200000,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2014年9月,43.04,561365,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2014年8月,41.74,119100,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2014年7月,44.05,57613,,
1566630.html,天津软银欣创股权投资基金合伙企业（有限合伙）,天津软银,2014年6月,44.20,461532,,
15669614.html,卢柏强,,2017-01-19,9.54,3784200,,
15669614.html,润宝盈信,,2017-01-19,9.54,5000000,,
15669614.html,卢柏强,,2017-01-23,9.63,1215800,,
15674770.html,中科汇通(深圳)股权投资基金有限公司,中科汇通,2016-10-19,52.95,11076070,,
156775.html,南航集团,,2012-10-11,,5000000,4150050000,0.4227
1568041.html,减持情况时，广州高金技术产业集团有限公司,广州高金,2015-01-12,6.00,779400,,
1568041.html,减持情况时，广州高金技术产业集团有限公司,广州高金,2015-01-12,6.45,40,,
1568041.html,减持情况时，广州高金技术产业集团有限公司,广州高金,2015-01-29,6.17,19230460,101029440,0.2519
1568045.html,广州高金技术产业集团有限公司,广州高金,2015-01-12,6.00,779400,,
1568045.html,广州高金技术产业集团有限公司,广州高金,2015-01-12,6.45,40,,
1568045.html,广州高金技术产业集团有限公司,广州高金,2015-01-29,6.17,19231000,101028900,0.2519
15681041.html,陈倩盈,,2017-01-25,,10211240,,
15681049.html,盈富泰克,,2016-05-31,69.37,200000,,
15681049.html,盈富泰克,,2016.6,74.84,839700,,
15681049.html,盈富泰克,,2016.7,82.49,186900,,
15681049.html,盈富泰克,,2016.8,70.53,89900,,
15681049.html,盈富泰克,,2016.9,68.54,293500,,
15681049.html,盈富泰克,,2016.10,74.24,228000,,
15681049.html,盈富泰克,,2016-10-31,73.91,2000000,227800,0.0016
15681757.html,东方工程株式会社,日本东方,2017-01-23,31.34,500000,,
15681757.html,东方工程株式会社,日本东方,2017-01-24,31.37,1000000,,
1568346.html,江阴市九润管业有限公司,九润管业,2015-01-27,,12608961,,
1568346.html,江阴市九润管业有限公司,九润管业,2015-01-28,,41339884,,
15684521.html,中国华融资产管理股份有限公司,中国华融,2016-12-29,8.44,1290100,34661696,0.05
15684521.html,华融渝富,,2016-12-29,8.97,28503696,,
1568628.html,广发证券资产管理（广东）有限公司,广发资管,2015-01-23,6.30,200000,,
1568628.html,广发证券资产管理（广东）有限公司,广发资管,2015-01-27,6.29,1045000,,
1568628.html,广发证券资产管理（广东）有限公司,广发资管,2015-01-27,6.08,6000000,26375000,0.0499
1568735.html,广州高金技术产业集团有限公司,广州高金,2015-01-12,6.00,779400,,
1568735.html,广州高金技术产业集团有限公司,广州高金,2015-01-12,6.45,40,,
1568735.html,广州高金技术产业集团有限公司,广州高金,2015-01-29,6.17,19230460,101029440,0.2519
1568792.html,北京中商华通科贸有限公司,中商华通,2015-01-26,8.504,5161574,,
1568792.html,北京中商华通科贸有限公司,中商华通,2015-01-28,3.72,10000000,,
1568793.html,新余睿景企业管理服务有限公司,睿景公司,2015-01-28,33.37,922400,,
1568793.html,新余睿景企业管理服务有限公司,睿景公司,2015-01-29,33.90,697600,,
1569505.html,温氏投资,,2014-09-03,7.08,2000000,,
1569505.html,温氏投资,,2015-01-08,7.98,819378,,
1569505.html,温氏投资,,2015-01-09,8.11,3052677,,
1569505.html,温氏投资,,2015-01-12,7.60,7945,,
1569505.html,温氏投资,,2015-01-14,7.33,20000,,
1569505.html,温氏投资,,2015-01-15,7.39,319300,0,
15707264.html,宁波保税区亿旺贸易有限公司,亿旺贸易,2017-02-13,19.71,783987,40664400,99987.88
15707442.html,东方工程株式会社,日本东方,2017-02-09,30.66,1000000,,
1570792.html,上海亨升,,2015-01-26,12.51,1700000,,
1570792.html,上海亨升,,2015-01-27,12.46,2747748,,
15715929.html,新余高新区泽润投资管理有限公司,泽润投资,2016-11-16,44.86,868600,,
15715929.html,新余高新区泽润投资管理有限公司,泽润投资,2016-09-05,41.11,1000000,,
15715929.html,新余高新区泽润投资管理有限公司,泽润投资,2016-11-23,42.78,500000,,
15722860.html,新余亚力盛投资管理有限公司,亚力盛投资,2016-12-20,25.04,9530000,,
15722860.html,新余亚力盛投资管理有限公司,亚力盛投资,2017-02-17,27.18,5256092,48041132,0.05
15726007.html,徐州云意科技发展有限公司,云意科技,2017-02-14,63.65,2640000,,
15726007.html,徐州云意科技发展有限公司,云意科技,2017-02-20,55.41,2960000,92657600,0.4085
15726007.html,徐州德展贸易有限公司,德展贸易,2017-02-20,55.41,2200000,,
15726007.html,李成忠,,2017-02-20,55.41,2000000,,
15726187.html,南方水泥有限公司,南方水泥,2017-02-08,11.70,8000000,,
15726187.html,南方水泥有限公司,南方水泥,2017-02-21,11.73,6000000,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-01-23,42.71,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-01-24,45.15,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-01-28,46.85,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-02-11,49.00,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-02-13,50.90,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-02-24,51.80,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2014-02-25,54.70,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2015-04-02,56.52,红塔创新投资股份有限公司,,
1572681.html,红塔创新投资股份有限公司,红塔创投,2015-04-03,57.57,红塔创新投资股份有限公司,,
15729128.html,李晓红,,2017-02-22,8.74,586353,3218000,0.0023
15733001.html,北企食品,,2016-09-07,8.11元/股至8.43元/股,14975509,,
15733001.html,北企食品,,2017-02-23,8.01元/股至8.28元/股,14975604,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-01-18,8.72,1415000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-07,8.68,1000000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-13,8.81,1000000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-14,8.89,1000000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-21,8.67,953000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-23,8.78,1200000,,
15740337.html,广东毅昌投资有限公司,毅昌投资,2017-02-24,8.87,1200000,,
15768235.html,刘肇怀,,2017-03-06,6.21,4922400,264907300,0.253
15774810.html,光正投资有限公司,光正投资,2017-03-06,10.76元/股,2130000,,
15774810.html,光正投资有限公司,光正投资,2017-03-07,9.88元/股,2148500,155015348,0.308
157751.html,中国通用技术（集团）控股有限责任公司,通用技术集团,2012-09-10,,1200090,191208090,0.6149
157772.html,浙江新湖集团股份有限公司,新湖集团,2009-10-22,,22736649,359638,
15779963.html,天津硅谷天堂恒丰股权投资基金合伙企业（有限合伙）,天津硅谷天堂,2017-03-08,10.14,430000,,
15779963.html,天津硅谷天堂恒丰股权投资基金合伙企业（有限合伙）,天津硅谷天堂,2017-03-09,10.11,1920128,,
15779963.html,天津硅谷天堂恒丰股权投资基金合伙企业（有限合伙）,天津硅谷天堂,2016-12-29,11.08,3000000,,
15779963.html,天津硅谷天堂恒丰股权投资基金合伙企业（有限合伙）,天津硅谷天堂,2017-03-06,10.31,7000000,,
15779963.html,天津硅谷天堂恒丰股权投资基金合伙企业（有限合伙）,天津硅谷天堂,2017-03-07,10.08,7000000,,
15779966.html,VTRONINVESTMENTLIMITED,威创投资,2017-03-09,13.42,12900000,,
15779966.html,VTRONINVESTMENTLIMITED,威创投资,2017-03-09,13.42,6200000,,
15779966.html,VTRONINVESTMENTLIMITED,威创投资,2017-03-09,13.42,3600000,,
15779966.html,VTRONINVESTMENTLIMITED,威创投资,2017-03-09,13.42,6300000,,
15780124.html,陕西宝光集团有限公司,,2017-03-09,,869724,,
15780206.html,安徽海螺水泥股份有限公司,海螺水泥,2017-03-09,30.2元/股至31.78元/股,2420000,18165700,0.0751
15789262.html,金控资本,,2016-12-07,27.87,1490000,87161400,0.1456
15790481.html,刘肇怀,,2017-03-13,6.22,27041800,237865500,0.2271
15827854.html,新疆动能东方股权投资有限公司,动能东方,2016-09-09,29.45,1450000,,
15827854.html,新疆动能东方股权投资有限公司,动能东方,2016-09-13,29.67,1000000,,
15827854.html,新疆动能东方股权投资有限公司,动能东方,2016-09-19,29.43,1825000,64126189,0.2744
15833240.html,江苏锦诚投资有限公司,锦诚投资,2017-03-23,42.92,245600,12024400,0.05
15833442.html,黑龙江黑化集团有限公司,黑化集团,2017-03-22,16.33,12857300,162433833,0.1529
15846735.html,南方水泥有限公司,南方水泥,2017-03-24,11.70,5300000,,
1585180.html,新疆华元股权投资合伙企业（有限合伙）,华元投资,2015-04-13,26.00,12000000,13350000,0.0395
158706.html,南山集团有限公司,南山集团,2012-09-19,,7528495,829528495,0.4289
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-06,11.87,3000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-07,11.69,4000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-08,11.60,5000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-09,11.68,6500000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-10,11.49,5000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-13,11.50,4000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-14,11.38,4500000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-15,11.23,5000000,,
15884354.html,中华映管（百慕大）股份有限公司,华映百慕大,2017-02-16,11.26,2959500,455806072,26.37
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-22,11.70,4000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-23,11.40,5000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-24,11.24,5000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-28,11.18,4000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-29,11.10,4000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-30,10.70,5000000,,
15884354.html,中华映管（纳闽）股份有限公司,华映纳闽,2017-03-31,10.64,3040422,,
158862.html,中国通用技术（集团）控股有限责任公司,通用技术集团,2012-09-10,,1200090,196227211,0.631
15902161.html,嘉兴嘉泽九鼎投资中心（有限合伙）,嘉兴嘉泽,2016-07-11,23.50,4000000,,
15902161.html,嘉兴嘉泽九鼎投资中心（有限合伙）,嘉兴嘉泽,2017-03-24,17.14,13949064,0,0
15902161.html,苏州永乐九鼎投资中心（有限合伙）,苏州永乐,2016-11-03,22.06,14650000,,
15902161.html,苏州永乐九鼎投资中心（有限合伙）,苏州永乐,2016-11-18,22.06,3299064,,
15952226.html,管理有限责任公司,,2017-04-14,,3750000,,
1595483.html,江苏金智集团有限公司,金智集团,2015-04-17,24.67,9600000,,
15959738.html,连捷资本（香港）有限公司,连捷资本,2017-04-14,22.73,1070000,9999988,0.0499
1597815.html,浙江金洲集团上海有限公司,上海金洲,2015-04-20,13.80,283100,3627620,0.007
1599249.html,北京市第一中级人民法院,,2015-04-19,,5665319,,
1599249.html,北京市第一中级人民法院,,2015-04-20,,392200,,
1599249.html,北京市第一中级人民法院,,2015-04-21,,5707300,86502400,0.1493
1600908.html,玉溪高新房地产开发有限公司,玉溪地产,2015-04-21,53.00,8080000,,
16038918.html,持有贵公司,,2017-04-25,,32500,,
16040664.html,兴宁市众益福投资有限公司,兴宁众益福,2017-01-19,,112200,,
16042176.html,天津泰达投资控股有限公司,泰达控股,2017-04-25,28.50,2510000,,
16057392.html,长沙兴创投资管理合伙企业（有限合伙）,兴创投资,2017-03-08,87.36,50000,,
16057392.html,长沙兴创投资管理合伙企业（有限合伙）,兴创投资,2017-03-13,85.01,150000,,
16057392.html,长沙兴创投资管理合伙企业（有限合伙）,兴创投资,2017年3月,87.15,20000,3396140,0.0505
1608991.html,新筑投资集团有限公司,新筑投资,2014-12-03,11,25000000,,
1608991.html,新筑投资集团有限公司,新筑投资,2015-03-31,12.45,10000000,,
1608991.html,新筑投资集团有限公司,新筑投资,2015-04-23,15.90,10000000,,
16120207.html,纳路控股（香港）有限公司,纳路香港,2017-04-24,13.36,1700000,,
16120207.html,纳路控股（香港）有限公司,纳路香港,2017-04-27,12.02,2900000,,
16120207.html,纳路控股（香港）有限公司,纳路香港,2017-04-28,11.88,7000000,29350000,0.0624
16120226.html,南通产业控股集团有限公司,产控集团,2016-11-11,27.21,393225,,
16120226.html,南通产业控股集团有限公司,产控集团,2016-11-16,27.32,145300,,
16120226.html,南通产业控股集团有限公司,产控集团,2016-11-18,27.05,165038,,
16120226.html,南通产业控股集团有限公司,产控集团,2016-11-21,27.17,1180100,15893729,0.0777
16127500.html,纳路控股（香港）有限公司,纳路香港,2017-05-02,11.80,5900000,23450000,0.0499
16143277.html,北京粮食集团有限责任公司,京粮集团,2017-05-07,,12356,,
16144846.html,长沙九芝堂（集团）有限公司,九芝堂集团,2017-05-08,,4367500,282555604,0.0934
16149985.html,北京大北农科技集团股份有限公司,大北农,2017-05-05,13.707,2811600,,
16149985.html,北京大北农科技集团股份有限公司,大北农,2017-05-08,13.684,386600,,
16149985.html,北京大北农科技集团股份有限公司,大北农,2017-05-09,13.63,3317000,,
16159037.html,浙江恒顺投资有限公司,恒顺投资,2017-05-10,,64300,,
16159482.html,日月控股,,2017-05-10,9.11,287300,,
16160112.html,兴宁市众益福投资有限公司,兴宁众益福,2017-01-19,,112200,,
16160133.html,力帆实业（集团）股份有限公司,公司”或“力帆股份,2017-05-10,,3892595,,
16160133.html,力帆,,2017-05-05,,20000000,,
16160209.html,许文智,,2017-05-10,7.0814,120800,9659742,0.007
16160215.html,徐玉,,2017-05-10,7.10,50000,2475513,0.0018
16160259.html,宁波炬泰投资管理有限公司,宁波炬泰,2017-04-05,,4400000,,
16165575.html,Navigation,,2016-05-17,15.84,32199900,,
16165575.html,Navigation,,2016-07-14,16.68,4850200,,
1616573.html,中国中材国际工程股份有限公司,公司,2014-12-15,,54660000,107060000,0.0979
16165740.html,华益公司,,2017-05-11,27.54,10000000,,
16169228.html,晟衍（上海）投资管理有限公司,,2017-05-11,7.85,224000,,
16182450.html,刚泰集团有限公司,刚泰集团,2017-05-16,,4194115,369634172,0.2483
1619846.html,甘肃祁连山建材控股有限公司,祁连山控股,2015-04-22,11.46,12329710,90274207,11.63
16223997.html,中庚地产实业集团有限公司,中庚集团,2017-03-17,,2585600,39689515,0.3101
16224041.html,云天化集团有限责任公司,云天化集团,2017-05-23,,607006559,,
16224041.html,云天化集团有限责任公司,云天化集团,2017-05-24,,2166762,,
16233145.html,陕西鼓风机（集团）有限公司,陕鼓集团,2017-05-26,,959886469,,
16238351.html,汇邦科技,,2017/5/26,,23014918,,
16239539.html,中泰创展（珠海横琴）资产管理有限公司,中泰资管,2017-05-31,15.52,39433400,133600541,0.0499
16250736.html,和柚集团,,2017-06-01,,515112,,
16258938.html,三峡资本控股有限责任公司,三峡资本,2017-03-20,5.50-6.04,99497969,,
16258938.html,三峡资本控股有限责任公司,三峡资本,2017-05-25,5.59-6.21,40800000,,
16258941.html,张家港保税区金港资产经营有限公司,金港资产,2017-06-06,,12177597,398272226,0.3286
16259066.html,名称：上海领资股权投资基金合伙企业（有限合伙）,领资投资,2017-06-03,,42889329,99005778,0.1764
16264075.html,大连东软控股有限公司,东软控股,2016-12-09,18.83,55080000,,
16270328.html,基金管理有限公司,五牛基金,2017-05-11,,3405562,,
16270328.html,基金管理有限公司,五牛基金,2017-06-08,,6811263,,
16286668.html,民盛金科控股股份有限公司,公司”或“民盛金科,2017-06-01,,515112,,
16309513.html,聂新勇,,2017-03-08,26.33,2399700,,
16309513.html,聂新勇,,2017-01-23,21.67,446900,,
16309513.html,聂新勇,,2017-03-09,25.70,2000000,,
16309513.html,聂新勇,,2017-03-10,26.36,1541600,,
16309513.html,聂新勇,,2017-03-23,24.67,450000,7684300,0.032
16317997.html,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-19,15.186,925400,,
16317997.html,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-22,14.902,171400,,
16317997.html,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-23,14.547,80800,,
16317997.html,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-25,14.050,353605,27447621,0.0624
16318183.html,北京万达投资有限公司,万达投资,2017-06-26,,2000574,682000574,0.5808
16318370.html,光正投资有限公司,光正投资,2017-01-26,,2000000,,
16318370.html,光正投资有限公司,光正投资,2017-06-26,,1480000,,
16318952.html,上海三盛宏业投资（集团）有限责任公司,,2017-06-26,17.09元/股,1089600,,
16319321.html,信隆资产管理有限公司,东方信隆,2017-05-02,,81000000,,
16319321.html,信隆资产管理有限公司,东方信隆,2017-06-23,,24566759,709136962,0.1751
1632185.html,江门金洪商务有限公司,金洪公司,2015-05-05,10.65,1019687,,
1632185.html,江门金洪商务有限公司,金洪公司,2015-05-05,13.58,4000000,,
16327323.html,深圳市香江股权投资管理有限公司,香江股权投资公司,2016-12-28,,11746714,,
16327323.html,深圳市香江股权投资管理有限公司,香江股权投资公司,2017-01-25,,16403873,,
16327323.html,深圳市香江股权投资管理有限公司,香江股权投资公司,2017-03-17,,5883200,,
16327459.html,云南云内动力集团有限公司,云内集团,2017-06-28,4.4038,820000,,
1632948.html,大耀香港有限公司,大耀香港,2015-05-05,14.708,6940000,,
1632948.html,大耀香港有限公司,大耀香港,2015-05-06,13.680,4060000,,
1633079.html,光明集团股份有限公司,光明集团,2015-05-06,20.34,6800000,,
1633079.html,伊春光明纸箱制造有限公司,光明纸箱,2015-05-06,20.34,1528800,,
16338910.html,华夏人寿保险股份有限公司,华夏人寿,2016-12-05,,10000000,,
16338910.html,华夏人寿保险股份有限公司,华夏人寿,2016-07-29,,92794394,,
16344554.html,新昌县昌欣投资发展有限公司,昌欣投资,2017-06-23,,8000000,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-12,4.26,136784,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-13,4.30,1008216,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-14,4.28,658800,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-15,4.27,970100,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-16,4.26,1137600,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-19,4.23,3459000,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-20,4.25,2245865,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-21,4.30,4314322,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-22,4.27,1347600,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-23,4.26,3697713,,
16344777.html,北京首创阳光房地产有限责任公司,首创阳光,2017-06-26,4.26,2835700,,
