公告id,股东全称,股东简称,变动截止日期,变动价格,变动数量,变动后持股数,变动后持股比例
1656369,宏立投资有限公司,宏立投资,2015-06-01,28.5,10000000,,
1659363,重庆智全实业有限责任公司,智全实业,2015-06-03,13.8,420000,29908100,0.0499
1660546,云天化集团有限责任公司,云天化集团,2015-06-03,,9986200,112544000,0.1137
1660546,昆明钢铁控股有限公司,昆钢控股,2015-06-04,,10960000,,
1662867,VTRONINVESTMENTLIMITED,威创投资,2015-06-08,21.7,20800000,,
1662934,阮加春,,2015-06-05,33.0,10000000,,
1662934,阮加春,,2015-06-08,33.0,8000000,,
1663968,TBPOLYMERLIMITED,TB公司,2015-06-02,29.400,2000000,,
1663968,TBPOLYMERLIMITED,TB公司,2015-06-03,29.750,1000000,,
1663968,TBPOLYMERLIMITED,TB公司,2015-06-04,28.910,1000000,,
1663968,TBPOLYMERLIMITED,TB公司,2015-06-05,31.720,1000000,,
1663968,TBPOLYMERLIMITED,TB公司,2015-06-08,31.010,2000000,,
16640273,通联资本管理有限公司,通联资本,2017-08-11,4.1,24019200,,
16640273,通联资本管理有限公司,通联资本,2017-08-30,3.8,45600000,,
16665025,欣胜投资,,2017-09-07,13.7,6000000,,
16674762,宝钢集团广东韶关钢铁有限公司,韶关钢铁,2017-09-11,9.3,7701900,,
1667656,浙江医药股份有限公司,浙江医药,2015-02-27,11.1,,,
1667656,浙江医药股份有限公司,浙江医药,2015-03-12,12.0,,,
1667656,浙江医药股份有限公司,浙江医药,2015-03-13,12.1,,,
1667656,浙江医药股份有限公司,浙江医药,2015-04-09,16.3,,,
1667656,浙江医药股份有限公司,浙江医药,2015-06-12,27.1,,,
1667722,深圳贵航实业有限公司,深圳贵航,2015-06-11,18.5,12177400,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-05-11,10.97,2731600,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-05-19,11.45,445700,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-05-22,11.45,443700,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-05-24,11.09,868300,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-07-04,13.71,20300,,
16680735,云南锡业集团（控股）有限责任公司,云锡控股,2017-09-11,15.36,6500,,
1669249,五龙贸易有限公司,五龙公司,2015-05-04,16.1,11000000,,
1669249,五龙贸易有限公司,五龙公司,2015-05-29,18.2,4200000,,
1669249,五龙贸易有限公司,五龙公司,2015-06-01,18.6,6800000,,
1669249,五龙贸易有限公司,五龙公司,2015-06-02,21.0,8000000,,
1669249,五龙贸易有限公司,五龙公司,2015-06-11,21.0,6000000,,
1669249,五龙贸易有限公司,五龙公司,2015-06-12,21.2,4000000,,
16699616,劲辉国际企业有限公司,劲辉国际,2017-09-15,8.1,9000000,,
16699616,劲辉国际企业有限公司,劲辉国际,2017-09-18,8.1,13790000,,
16699616,劲辉国际企业有限公司,劲辉国际,2017-09-18,8.1,5210000,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-07-06,10.2,8000000,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-07-12,10.2,7780000,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-08-01,13.7,52300,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-08-09,13.8,2029100,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-08-10,13.9,28600,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-08-11,14.0,510000,,
16702656,北京市第一建筑工程有限公司,北京一建,2017-09-18,14.0,1600000,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-07-24,14.5,1421700,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-07-25,14.4,876000,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-08-30,16.3,1882300,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-01,15.7,1819500,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-04,16.2,635200,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-05,16.4,30000,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-06,16.1,361900,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-07,16.5,763000,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-08,16.6,50000,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-11,17.1,352900,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-13,18.1,149200,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-14,18.4,8300,,
16702778,浙江华迅投资有限公司,浙江华迅,2017-09-18,18.8,1000,92139625,0.1096
16707777,程荣武,,2017-09-18,48.0,18750,56250,0.0005
16707777,汤德平,,2017-09-19,47.9,18700,,
16707777,刘智敏,,2017-09-20,48.0,7500,,
16712221,奥克集团股份公司,奥克集团,2017-07-25,7.275,3120645,,
16712221,奥克集团股份公司,奥克集团,2017-07-26,7.203,2559380,,
16712221,奥克集团股份公司,奥克集团,2017-07-27,7.233,6349300,,
16712221,奥克集团股份公司,奥克集团,2017-07-28,7.340,68300,,
16712221,奥克集团股份公司,奥克集团,2017-09-14,8.235,485600,,
16712221,奥克集团股份公司,奥克集团,2017-09-18,8.127,1128596,,
16712221,奥克集团股份公司,奥克集团,2017-09-19,7.960,1500000,363386955,0.5339
1671378,晋正企业股份有限公司,晋正企业,2015-06-09,21.1,12000000,,
1671378,晋正企业股份有限公司,晋正企业,2015-06-10,21.4,12000000,,
1671378,晋正企业股份有限公司,晋正企业,2015-06-11,21.1,12000000,,
1671378,晋正企业股份有限公司,晋正企业,2015-06-16,21.8,3634500,326045056,0.4113
16715028,戴奉祥,,2017-09-21,16.4,82900,502825,0.0004
16715384,天津华远浩利投资股份有限公司,天津浩利,2017-09-21,4.40-4.8,,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-20,13.08,330000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-21,13.04,70000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-24,12.77,2100000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-25,12.84,1250000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-26,12.83,160000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-07-27,12.78,480000,,
16720183,杭州信雅达电子有限公司,电子公司,2017-09-22,12.69,3610000,,
16725313,金石投资有限公司,金石投资,2017-09-25,10.28-11.3,7104249,70082517,0.0683
16725817,宁波凯数,,2017-07-28,36.61,118375,,
16725817,宁波凯数,,2017-09-07,40.28,219500,,
16725817,宁波凯数,,2017-09-08,40.00,30000,,
16725817,宁波凯数,,2017-09-19,39.76,28200,,
16725817,宁波凯数,,2017-09-25,40.42,32400,,
16749007,宝钛集团,,2017-10-09,,12901987,228227298,0.5304
16752805,西部信托有限公司,西部信托,2017-10-09,8.4,10000000,,
1675467,重庆渝富资产经营管理集团有限公司,重庆渝富,2015-04-17,28.6,2352300,,
1675467,重庆渝富资产经营管理集团有限公司,重庆渝富,2015-06-19,8.2,12121200,41845559,0.0101
1676811,山东中际投资控股有限公司,中际投资,2015-06-17,30.8,2000000,,
1676811,山东中际投资控股有限公司,中际投资,2015-06-24,27.4,1500000,,
16773708,德清丰华投资有限公司,,2017-09-29,6.60-6.7,1551040,,
16788808,好利来控股有限公司,好利来控股,2017-09-15,58.0,1333600,,
16788808,好利来控股有限公司,好利来控股,2017-10-19,58.7,666800,29499600,0.4424
16789324,杭州博泰投资管理有限公司,博泰投资,2017-07-28,12.9,3529570,,
16797798,华茂集团股份有限公司,华茂集团,2017-08-24,16.0,1350000,,
16797798,华茂集团股份有限公司,华茂集团,2017-08-25,16.2,3650000,,
16797798,华茂集团股份有限公司,华茂集团,2017-10-16,16.5,2550000,,
16797798,华茂集团股份有限公司,华茂集团,2017-10-17,16.7,1500000,,
16797798,华茂集团股份有限公司,华茂集团,2017-10-18,16.7,1000000,267500000,0.0528
1681496,华润深国投信托有限公司,,2015-06-29,16.271,4990020,,
16816990,上海柏智方德投资中心（有限合伙）,柏智方德,2017-09-05,40.10,10000,,
16816990,上海柏智方德投资中心（有限合伙）,柏智方德,2017-09-07,40.46,158700,,
16816990,上海柏智方德投资中心（有限合伙）,柏智方德,2017-09-08,40.53,121300,,
16816990,上海柏智方德投资中心（有限合伙）,柏智方德,2017-09-11,41.83,27400,,
16816990,上海柏智方德投资中心（有限合伙）,柏智方德,2017-09-21,41.83,25400,,
16816990,青城容仕凯投资中心（有限合伙）,容仕凯,2017-09-01,40.19,4000,,
16816990,青城容仕凯投资中心（有限合伙）,容仕凯,2017-09-07,40.5,6500,,
16816990,青城容仕凯投资中心（有限合伙）,容仕凯,2017-09-08,40.4,10000,,
16825247,黄山永佳投资有限公司,永佳投资,2017-10-27,,580000,103363728,0.3078
16837249,北京临空兴融投资有限公司,临空兴融,2017-10-30,,165000,,
1684326,华东电子工程研究所,华东所,2015-06-24,,3201510,54215156,0.3966
16849739,中国信达资产管理股份有限公司,中国信达,2017-10-31,40.5,1814008,9291475,0.0512
16850168,安徽新华发行（集团）控股有限公司,新华控股,2017-11-01,,9694430,,
16861043,山东威达集团有限公司,威达集团,2017-09-13,,4200000,,
16861043,山东威达集团有限公司,威达集团,2017-11-03,,4300087,,
16862052,湖北驼峰投资有限公司,驼峰投资,2017-11-05,,2059944,,
16865577,财通基金管理有限公司旗下资产管理计划,财通基金,2017-11-06,,3086674,25651388,0.0582
16866209,湖南科力远高技术集团有限公司,科力远集团,2017-11-07,,6739700,,
16866209,湖南科力远高技术集团有限公司,科力远集团,2017-07-17,,8253492,261005435,0.1876
1686912,东莞市国弘投资有限公司,国弘投资,2015-07-06,,1000000,230785410,0.1622
16869565,钟伟刚,,2017-11-07,12.8,23300,160169,0.0003
16878810,新加坡NORTHLAND,,2017-07-20,17.3,100000,,
16878810,新加坡NORTHLAND,,2017-07-24,16.8,100000,,
16878810,新加坡NORTHLAND,,2017-08-30,18.7,200000,,
16878810,新加坡NORTHLAND,,2017-08-31,18.6,200000,,
16878810,新加坡NORTHLAND,,2017-09-05,19.0,200000,,
16878810,新加坡NORTHLAND,,2017-09-07,19.2,100000,,
16878810,新加坡NORTHLAND,,2017-09-12,19.2,200000,,
16878810,新加坡NORTHLAND,,2017-09-13,19.0,100000,,
16878810,新加坡NORTHLAND,,2017-11-01,18.4,150300,,
16878810,新加坡NORTHLAND,,2017-11-07,17.9,89700,,
16878810,新加坡NORTHLAND,,2017-11-08,16.3,400000,,
16878810,新加坡NORTHLAND,,2017-11-09,16.4,1960000,0,0
16883614,南京钢铁联合有限公司,南钢联合,2017-11-11,,6987819,121167491,0.0275
1688954,华联发展集团有限公司,华联集团,2015-07-07,,4250000,356,0.3124
16891994,无锡天奇投资控股有限公司,,2017-11-15,18.7,282823,,
16899995,美林控股集团有限公司,美林控股,2017-11-16,7.9,9086804,,
16899995,美林控股集团有限公司,美林控股,2017-11-16,7.9,9086804,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-14,16.77,74000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-14,16.71,15000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-15,16.63,36000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-15,16.66,37000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-16,15.96,73000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-16,15.86,65000,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-17,15.81,19300,,
16901033,劲通电子设备（深圳）有限公司,,2017-11-17,15.43,70700,12001800,0.05
1690205,大商集团有限公司,大商集团,2015-07-07,,1118053,26977633,0.0918
16904421,天津力合创赢股权投资基金合伙企业（有限合伙）,力合创赢,2017-08-22,13.307,6500,,
16904421,天津力合创赢股权投资基金合伙企业（有限合伙）,力合创赢,2017-08-29,13.866,385000,,
16904421,天津力合创赢股权投资基金合伙企业（有限合伙）,力合创赢,2017-08-30,13.612,322100,,
16904421,天津力合创赢股权投资基金合伙企业（有限合伙）,力合创赢,2017-08-31,13.541,70000,,
16905387,长江润发集团有限公司,长江润发集团,2017-07-27,,8300665,184575437,0.3761
16905580,新余百合永生投资管理中心(有限合伙),百合永生,2017-11-15,33.73,312000,,
16905580,新余百合永生投资管理中心(有限合伙),百合永生,2017-11-16,33.63,392000,,
16905580,新余百合永生投资管理中心(有限合伙),百合永生,2017-11-17,33.39,498000,,
16905663,安徽迎驾集团股份有限公司,迎驾集团,2017-11-20,,1138000,635038000,0.7938
16905723,日照港集团有限公司,日照港集团,2017-11-20,,5687554,1285894873,0.4181
16905992,北京宽街博华投资中心（有限合伙）,宽街博华,2017-05-23,31.1,1000000,,
16905992,北京宽街博华投资中心（有限合伙）,宽街博华,2017-05-25,30.2,1000000,,
16906528,鸿达永泰,,2017-09-25,74.4,124800,,
16906528,鸿达永泰,,2017-11-10,92.7,7100,,
16906528,鸿达永泰,,2017-11-17,88.0,13900,,
16906528,宝利鸿雅,,2017-11-15,92.9,24200,,
16906528,宝利鸿雅,,2017-11-17,90.3,29000,,
16906528,张勤,,2017-09-25,73.4,93000,,
1690726,中国证监会,,2015-07-08,,21470700,,
16910116,中金佳泰,,2017-09-05,14.98-16.6,,,
16910116,中金佳泰,,2017-09-22,13.02-13.4,,,
16910228,翊辉投资,,2017-11-07,16.2,,,
16910228,翊辉投资,,2017-11-09,16.7,,,
16910228,翊辉投资,,2017-11-20,14.1,,37601190,0.0591
16910500,飞利信投资控股有限公司,,2017-07-18,8.1,1229800,,
16910500,飞利信投资控股有限公司,,2017-11-08,8.3,5200,,
16910500,飞利信投资控股有限公司,,2017-11-09,8.4,36400,,
16910500,飞利信投资控股有限公司,,2017-11-20,7.7,728629,,
16910785,江苏无锡商业大厦集团有限公司,大厦集团,2017-11-21,,810000,241771666,0.8
16914595,惠州市博达兴实业有限公司,博达兴,2017-11-13,26.93,569711,,
16914595,惠州市博达兴实业有限公司,博达兴,2017-11-14,26.81,123100,,
16914595,惠州市博达兴实业有限公司,博达兴,2017-11-16,26.47,80000,,
16914595,惠州市博达兴实业有限公司,博达兴,2017-11-17,26.46,30000,,
16914595,惠州市博达兴实业有限公司,博达兴,2017-11-21,27.21,3456086,16712878,0.0391
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-19,15.18,925400,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-22,14.90,171400,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-23,14.57,80800,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-05-25,14.05,353605,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-07-05,14.16,120000,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-07-07,15.63,627621,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-07-12,14.29,330000,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-07-14,14.09,60000,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-09-27,13.92,150000,,
16918461,宁波经济技术开发区春秋科技开发有限公司,春秋科技,2017-09-29,13.82,285400,,
16918665,深圳市东方富海投资管理股份有限公司,东方富海,2017-09-11,24.9,100,26999900,0.1216
16923586,维维集团股份有限公司,维维集团,2017-11-24,,3177300,520708583,0.3114
16926643,深圳市赛格集团有限公司,赛格集团,2017-11-24,8.49-9.3,12411854,700628759,0.567
16926643,一致行动人赛格集团董事长王宝董事、总经理张良副总经理张光柳副总经理胡建平副总经理汪小平职工监事胡再卫,,2017-11-24,7.90-8.2,124600,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-03-21,,110000020162750000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-03-21,,110000020162750000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-16,,200000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-17,,822800,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-21,,333000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-22,,200000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-23,,500000,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-24,,200200,,
16933161,之一致行动人北京五八投资控股有限公司,五八投资,2017-11-27,,200000,,
16945779,宁波理瑞股权投资合伙企业（有限合伙）,宁波理瑞,2017-09-18,9.93,420000,,
1700788,深圳华强集团有限公司,华强集团,2015-07-14,44.35,225400,500203200,0.75
1700807,国网四川省电力公司,四川电力,2015-07-09,,18176760,73449220,0.2015
170397,包头浩瀚科技实业有限公司,包头浩瀚,2012-05-18,,1741601,12594110,0.0727
1704394,唐海滨,,2015-07-16,,40400,,
1705177,中科汇通（深圳）股权投资基金有限公司,中科汇通,2015-07-15,28.9,4361746,,
1705177,中科汇通（深圳）股权投资基金有限公司,中科汇通,2015-07-16,29.8,1286425,,
1705177,中科汇通（深圳）股权投资基金有限公司,中科汇通,2015-07-17,32.8,949250,20045755,0.15
170972,肃宁县华德投资管理有限公司,华德投资,2012-03-02,15.0,142857,,
170972,肃宁县华德投资管理有限公司,华德投资,2012-03-12,16.89,17142,,
170972,肃宁县华德投资管理有限公司,华德投资,2012-03-16,14.9,1300000,,
170972,肃宁县华德投资管理有限公司,华德投资,2012-03-16,14.9,328600,,
1713968,北京紫光通信科技集团有限公司,紫光通信,2015-07-28,4.46,990000,480468900,0.0393
1718468,董监,,2015-07-28,10.20,752800,51790800,0.2187
172185,韵升控股集团有限公司,集团公司,2010-11-01,,3590000,,
172185,韵升控股集团有限公司,集团公司,2012-05-15,,14550000,181308000,0.3524
17413765,沈阳煤业（集团）有限责任公司,沈煤集团,2017-12-05,,623724178,623724178,0.4685
1746793,盛稷股权投资基金（上海）有限公司,盛稷股权,2015-08-26,22.3,7172069,,
1746793,盛稷股权投资基金（上海）有限公司,盛稷股权,2015-08-26,22.3,7172069,,143512.62
1747297,上海证券交易所业务规则,,2015-08-26,,300000,,
1758414,天水华天微电子股份有限公司,华天微电子,2015-09-02,,8000,,
1758574,北京汽车集团有限公司,北汽集团,2015-08-31,,3200000,171431565,0.3267
1765399,天水华天微电子股份有限公司,华天微电子,2015-09-15,12.09,250000,,
1766241,振石控股集团有限公司,振石集团,2015-07-17,,581100,,
1766241,振石控股集团有限公司,振石集团,2015-07-23,,975200,172389223,0.1976
1767932,韵升控股集团有限公司,韵升控股,2015-09-16,,87630,174895630,0.3269
1769204,北京市基础设施投资有限公司,京投公司,2015-09-21,,45900,,
1770241,盈峰投资控股集团有限公司,盈峰集团,2015-07-08,,6122344,125962680,0.4107
1770795,刘双广,,2015-08-03,,20500,,
1770795,刘双广,,2015-08-06,,205000,,
1770795,刘双广,,2015-09-02,,256600,,
1770795,刘双广,,2015-09-22,,117900,,
1770795,侯玉清,,2015-07-27,,15000,,
1770795,侯玉清,,2015-07-31,,5000,,
1770795,方英杰,,2015-09-18,,22000,,
1770795,王敏,,2015-07-27,,16500,,
1770795,王敏,,2015-07-31,,10000,,
1770795,王敏,,2015-08-03,,52700,,
1770795,丘春森,,2015-08-03,,9000,,
1770795,蒋成,,2015-07-22,,10200,,
1777304,淮北矿业（集团）有限责任公司,淮北矿业,2015-09-30,9.95,1004900,82155692,0.3126
1780727,华北制药集团有限责任公司,华药集团,2015-10-09,,16774726,255545404,0.1567
17968257,深圳市创新投资集团有限公司,深创投,2017-07-31,43.2,10000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-03,42.9,16900,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-16,44.0,36500,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-17,46.8,50000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-18,47.7,15000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-21,46.8,8700,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-25,45.0,10000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-28,46.7,20000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-08-29,47.8,20000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-09-04,50.7,30000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-09-05,54.5,10000,,
17968257,深圳市创新投资集团有限公司,深创投,2017-10-10,51.7,30000,2113072,0.0309
17992782,深圳市一体正润资产管理有限公司,一体正润,2017-09-14,7.4,12000000,,
17992782,金益信和,,2017-11-29,7.0,90000,,
17992782,金益信和,,2017-12-04,7.0,10000,,
17992782,金益信和,,2017-12-05,7.2,76000,,
17992782,金益信和,,2017-12-06,7.1,1074500,,
1814375,江苏丹化集团有限责任公司,丹化集团,2015-11-16,,29541123,,
1820565,DTHealthcare,,2015-11-20,29.0,1927500,,
1820565,重庆德同创业投资中心（有限合伙）,重庆德同,2015-11-20,29.0,803125,,
1820565,长三角创投,,2015-11-20,29.0,481875,,
1824930,广西索芙特科技股份有限公司,索芙特科技,2015-08-21,,3877901,,
18273891,湖北同济堂投资控股有限公司,同济堂控股,2017-12-06,,2836400,,
18274876,珠海招商银科股权投资中心（有限合伙）,珠海招银,2017-12-07,19.7,650000,,
18275228,金益信,,2017-12-07,7.17,12700,,
18275228,深圳市一体正润资产管理有限公司,一体正润,2017-09-14,,66458359,17429658,0.0087
18280382,广东知光生物科技有限公司,广东知光,2017-12-11,23.6848,1408829,,
18280382,广东知光生物科技有限公司,广东知光,2017-06-01,,5362459,55044822,0.2396
18280427,深圳市东阳光实业发展有限公司,深东实,2017-11-30,,25246734,,
18280427,深圳市东阳光实业发展有限公司,深东实,2017-12-11,,49377422,,
1828064,黎仁超,,2015-12-01,12.3,503000,,
1828064,黎仁超,,2015-12-02,12.5,7565436,,
18280892,中色矿业集团有限公司,中色矿业集团,2017-06-08,18.6,450343,,
18280892,中色矿业集团有限公司,中色矿业集团,2017-06-09,18.4,50000,,
18280892,中色矿业集团有限公司,中色矿业集团,2017-06-12,18.0,20000,,
18290853,天津力天融金投资有限公司,力天融金,2017-10-13,16.1,1083565,13972603,0.0375
18303177,PowerStar（HK）,,2017-08-11,8.59-9.2,54812984,,
18303177,PowerStar（HK）,,2017-08-22,8.6,63400000,,
18303177,PowerStar（HK）,,2017-08-31,8.6,54100000,,
18303177,PowerStar（HK）,,2017-09-06,8.6,48000000,,
18303177,PowerStar（HK）,,2017-09-13,8.8,47750000,,
18303177,PowerStar（HK）,,2017-09-14,8.8,13804501,,
18303177,PowerStar（HK）,,2017-09-15,8.8,13480000,,
18303177,PowerStar（HK）,,2017-12-15,12.05-13.9,117295195,494283130,0.0404
1840212,冀东发展集团有限责任公司,冀东集团,2015-12-14,,2270000,,
1840212,冀东发展集团有限责任公司,冀东集团,2015-12-02,12.382,406500,,
1841986,上海锦江国际酒店发展股份有限公司,锦江股份,2014-09-27,6.8,,,
1841986,上海锦江国际酒店发展股份有限公司,锦江股份,2014-12-05,11.7,,,
1841986,上海锦江国际酒店发展股份有限公司,锦江股份,2015-03-30,15.9,,,
1841986,上海锦江国际酒店发展股份有限公司,锦江股份,2015-12-15,12.7,,,
185302,北京玺萌置业有限公司,玺萌置业,2011-11-18,8.32-8.6,4000000,,
185302,北京玺萌置业有限公司,玺萌置业,2011-11-21,8.05-8.3,2754100,,
185302,北京华信六合投资有限公司,华信六合,2011-12-06,6.8,4000000,,
185302,北京华信六合投资有限公司,华信六合,2012-01-04,6.2,4000000,,
185302,大华大陆投资有限公司,大华大陆,2012-01-19,7.00-7.0,2612000,,
185302,大华大陆投资有限公司,大华大陆,2012-01-20,7.01-7.1,5523169,,
1864460,重庆市能源投资集团有限公司,重庆能投集团,2016-01-08,,1273750,61363662,
1865230,东银集团,,2016-01-11,,3000000,,
1867909,上海文化广播影视集团有限公司,文广集团,2016-01-13,,59840000,1185295656,2.77
1868723,上海格林兰投资企业（有限合伙）,格林兰,2016-01-14,,1083252,3518736385,0.2892
1874999,威朗国际集团有限公司,威朗国际,2016-01-20,35.4,1561523,51215000,0.2955
18760769,正鸿发展有限公司,正鸿发展,2017-10-13,20.37,35000,,
18760769,正鸿发展有限公司,正鸿发展,2017-10-23,19.06,25000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-16,18.00,42100,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-17,17.15,100000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-23,17.00,26000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-24,16.87,11300,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-27,17.01,50000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-28,17.14,199000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-29,17.14,165000,,
18760769,正鸿发展有限公司,正鸿发展,2017-11-30,17.24,197300,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-01,17.38,125000,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-04,17.25,22900,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-11,17.01,44300,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-13,16.63,18400,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-14,16.56,120000,,
18760769,正鸿发展有限公司,正鸿发展,2017-12-15,16.63,58700,1760000,0.0141
18773595,佛山市顺德区昌连荣投资有限公司,昌连荣投资,2017-12-07,15.4,10000,,
18820222,湖南天鸿投资集团有限公司,天鸿投资,2017-12-21,7.1,16898687,173782470,0.2057
18834523,袁仲雪,,2017-12-25,7.7,583000,,
18839697,三一重工股份有限公司,公司,2010-07-16,,5109624,,
18839697,三一重工股份有限公司,公司,2017-12-26,8.71,16095315,,
18843922,武汉当代科技产业集团股份有限公司,当代科技,2017-12-26,,13441150,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-11-23,13.1,1327700,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-11-24,13.0,1221700,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-11-27,12.4,60000,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-12-27,11.9,2320900,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-12-28,12.0,2948400,,
18855459,青岛城投金融控股集团有限公司,城投金控,2017-12-29,12.3,5561700,,1557358.26
18861371,广东省科技创业投资有限公司,广东科创,2017-09-15,39.28,260038,,
18861371,广东省科技创业投资有限公司,广东科创,2017-09-18,38.86,350000,,
18861371,广东省科技创业投资有限公司,广东科创,2017-09-19,38.81,100000,,
18861371,广东省科技创业投资有限公司,广东科创,2017-09-20,39.4,120000,,
18861371,广东省科技创业投资有限公司,广东科创,2017-09-21,38.8,269962,,
18861371,广东省科技创业投资有限公司,广东科创,2017-09-25,38.3,100000,,
18862161,颜力,,2018-01-02,25.0,566700,,
18862363,王经锡,,2017-10-18,,15,,
18862363,王经锡,,2017-12-29,,103100,,
18862621,深圳俊图精科投资有限公司,俊图精科,2017-08-01,40.62,10000,,
18862621,深圳俊图精科投资有限公司,俊图精科,2017-08-03,40.36,20000,,
18862621,深圳俊图精科投资有限公司,俊图精科,2017-08-08,39.01,10000,,
18862621,深圳俊图精科投资有限公司,俊图精科,2017-08-09,39.88,10000,,
18862621,深圳俊图精科投资有限公司,俊图精科,2017-08-10,40.35,50000,641900,0.0059
18869456,财通基金（代表旗下投资组合）,,2018-01-04,8.62,26046635,,
18869456,财通基金（代表旗下投资组合）,,2018-01-03,8.83,6967817,139485548,0.0535
18872434,北京同晟达信创业投资中心（有限合伙）,,2017-07-10,25.70,344900,,
18872434,北京同晟达信创业投资中心（有限合伙）,,2017-07-20,22.71,669100,,
18872434,北京同晟达信创业投资中心（有限合伙）,,2017-07-21,22.83,586000,,
18872434,北京同晟达信创业投资中心（有限合伙）,,2017-08-02,22.1,1600000,3924800,0.0245
